,artist,region,date,n
450,"Dynoro, Gigi D'Agostino",Czech Republic,2018,61
451,"Sech, Darell",Mexico,2019,61
452,Maroon 5,Indonesia,2019,61
453,Maroon 5,Malaysia,2019,61
454,Tones And I,Iceland,2019,61
455,"J Balvin, Willy William",Spain,2017,61
456,Maluma,Peru,2017,61
457,24kGoldn,Sweden,2020,61
458,João Gomes,Brazil,2021,61
459,"Bad Bunny, Jhay Cortez",Mexico,2020,61
460,Bad Bunny,El Salvador,2018,60
461,The Weeknd,Ireland,2020,60
462,"Alex Rose, Cazzu, Rauw Alejandro, Lenny Tavárez",Paraguay,2018,60
463,Aimyon,Japan,2018,60
464,Ariana Grande,Romania,2019,60
465,"Shawn Mendes, Camila Cabello",United Kingdom,2019,60
466,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Dominican Republic,2019,60
467,"Arijit Singh, Shilpa Rao",India,2019,60
468,Imagine Dragons,Latvia,2017,60
469,"J Balvin, Willy William",Argentina,2017,60
470,"Bad Bunny, Jhay Cortez",Bolivia,2020,60
471,Dua Lipa,Indonesia,2018,59
472,Camilo,Peru,2020,59
473,DJ Snake,Costa Rica,2018,59
474,"Daddy Yankee, Snow",Mexico,2019,59
475,Ariana Grande,Latvia,2019,59
476,Ronnie Ferrari,Poland,2019,59
477,"KAROL G, Nicki Minaj",Costa Rica,2020,59
478,"KAROL G, Nicki Minaj",Peru,2020,59
479,"KAROL G, Nicki Minaj",Mexico,2020,59
480,"KAROL G, Nicki Minaj",Bolivia,2020,59
481,"Lil Kleine, Boef",Netherlands,2017,59
482,Manuel Turizo,Paraguay,2017,59
483,"Carlos Vives, Sebastian Yatra",Ecuador,2017,59
484,"Taco Hemingway, Lanek",Poland,2020,59
485,"Tilly Birds, MILLI",Thailand,2021,59
486,"13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari",France,2020,59
487,Naps,France,2021,59
488,"Selena Gomez, Marshmello",Taiwan,2017,59
489,"Post Malone, 21 Savage",Finland,2017,59
490,"Camila Cabello, Young Thug",Indonesia,2017,59
491,"Jawsh 685, Jason Derulo",Sweden,2020,58
492,BLACKPINK,Thailand,2020,58
493,Ariana Grande,Estonia,2019,58
494,Ozuna,Dominican Republic,2017,58
495,24kGoldn,Norway,2020,58
496,"5MIINUST, Hendrik Sal-Saller",Estonia,2020,58
497,Bad Bunny,Paraguay,2021,58
498,Sfera Ebbasta,Italy,2020,58
499,"Nicky Jam, J Balvin",Bolivia,2018,57
500,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Paraguay,2018,57
501,Luis Fonsi,Paraguay,2017,57
502,DaBaby,Global,2020,57
503,"Ozuna, Manuel Turizo",Panama,2018,57
504,BLACKPINK,Philippines,2020,57
505,BLACKPINK,Thailand,2019,57
506,"Daddy Yankee, Snow",El Salvador,2019,57
507,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Uruguay,2019,57
508,"KAROL G, Nicki Minaj",Ecuador,2020,57
509,"KAROL G, Nicki Minaj",Colombia,2020,57
510,The Weeknd,Estonia,2020,57
511,"Luis Fonsi, Daddy Yankee, Justin Bieber",United Kingdom,2017,57
512,Ed Sheeran,Ireland,2021,57
513,"Rocco Hunt, Ana Mena",Italy,2020,57
514,BTS,United Arab Emirates,2020,57
515,BTS,Japan,2020,57
516,"Myke Towers, Juhn",Panama,2021,57
517,"Selena Gomez, Marshmello",Hong Kong,2017,57
518,The Weeknd,Finland,2020,56
519,"Nicky Jam, J Balvin",Peru,2018,56
520,Gusttavo Lima,Brazil,2020,56
521,"Jay Wheeler, DJ Nelson, Myke Towers",Chile,2020,56
522,"Sech, Darell",Peru,2019,56
523,PNL,France,2019,56
524,"Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez",Paraguay,2019,56
525,Ariana Grande,Belgium,2019,56
526,"Shawn Mendes, Camila Cabello",Netherlands,2019,56
527,Luis Fonsi,Italy,2017,56
528,Maluma,Spain,2017,56
529,BTS,Singapore,2020,56
530,"Bad Bunny, Jhay Cortez",Argentina,2020,56
531,"Light, Hawk",Greece,2021,56
532,MORGENSHTERN,Russia,2021,56
533,Lil Nas X,Slovakia,2021,56
534,Lil Nas X,Latvia,2021,56
535,"Myke Towers, Juhn",Costa Rica,2021,56
536,Tainy,Honduras,2021,56
537,Tainy,El Salvador,2021,56
538,Tainy,Guatemala,2021,56
539,Tainy,Panama,2021,56
540,Calvin Harris,Ireland,2018,55
541,Ed Sheeran,Italy,2017,55
542,BTS,Indonesia,2020,55
543,"Lady Gaga, Bradley Cooper",Iceland,2018,55
544,Ed Sheeran,United Kingdom,2019,55
545,Tones And I,Finland,2019,55
546,Danny Ocean,Peru,2017,55
547,"J Balvin, Willy William",Costa Rica,2017,55
548,Maluma,El Salvador,2017,55
549,"Luis Fonsi, Daddy Yankee, Justin Bieber",Belgium,2017,55
550,BTS,Philippines,2020,55
551,Internet Money,South Africa,2020,55
552,24kGoldn,Netherlands,2020,55
553,"Bad Bunny, Jhay Cortez",Spain,2020,55
554,"Los Legendarios, Wisin, Jhay Cortez",Honduras,2021,55
555,"Joey Montana, Sebastian Yatra",Panama,2017,55
556,Tainy,Paraguay,2021,55
557,"Tobias Rahim, andreas odbjerg",Denmark,2021,55
558,Omer Adam,Israel,2018,54
559,Ed Sheeran,Iceland,2017,54
560,Ariana Grande,Singapore,2020,54
561,Capital Bra,Austria,2018,54
562,Harry Styles,Lithuania,2020,54
563,"Ozuna, Manuel Turizo",Uruguay,2018,54
564,Bonez MC,Germany,2020,54
565,Drake,South Africa,2018,54
566,Post Malone,Canada,2019,54
567,Capital Bra,Austria,2019,54
568,Ariana Grande,New Zealand,2018,54
569,Ariana Grande,Singapore,2019,54
570,Ariana Grande,Canada,2019,54
571,"Rauw Alejandro, Farruko",Paraguay,2019,54
