,title,artist,date,n
441,Calling My Phone,"Lil Tjay, 6LACK",2021-02,38
442,Havana,"Camila Cabello, Young Thug",2018-01,38
443,Hasta Que Dios Diga,"Anuel AA, Bad Bunny",2020-06,37
444,Berlin lebt,Capital Bra,2018-06,37
445,Something Just Like This,"The Chainsmokers, Coldplay",2017-03,37
446,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,2021-01,37
447,Снова я напиваюсь,SLAVA MARLOW,2020-10,37
448,Volví,"Aventura, Bad Bunny",2021-09,37
449,Shivers,Ed Sheeran,2021-10,37
450,Baller los,MERO,2018-12,36
451,Rolex,"Capital Bra, Summer Cem, KC Rebell",2019-04,36
452,Glorious (feat. Skylar Grey),Macklemore,2017-08,36
453,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,2020-12,36
454,34+35,Ariana Grande,2020-12,36
455,LIPSI HA,INSTASAMKA,2021-09,36
456,ZEZE (feat. Travis Scott & Offset),Kodak Black,2018-10,35
457,Lose You To Love Me,Selena Gomez,2019-10,35
458,Una Lady Como Tú,Manuel Turizo,2017-08,35
459,Dynamite,BTS,2020-12,35
460,BICHOTA,KAROL G,2020-12,35
461,New Rules,Dua Lipa,2017-10,35
